signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over2p,target,parameter,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,IQR
p,Under20p,moreP,diff,under2p,2to9,LtoH,109632.0,5.77,5.6197,0.0,2.8101,4.4439,6.9494,421.0918,12.7512,528.9116,0.0414
p,Under20p,moreP,diff,under2p,2to9,OC/LH,109590.0,-10.1575,49.2676,-99.964,-51.0236,-13.3211,27.5927,100.0,0.2605,-0.8575,0.7862
p,Under20p,moreP,diff,over2p,2to9,OtoC,19561.0,-0.4275,7.1389,-76.3584,-2.975,-0.4672,1.7184,467.4419,16.3448,980.1952,0.0469
p,Under20p,moreP,diff,over2p,2to9,OtoH,19561.0,4.2579,7.9482,0.0,0.9152,2.381,5.0091,504.6512,19.7631,942.9098,0.0409
p,Under20p,moreP,diff,over2p,2to9,OtoL,19561.0,-4.0049,4.3187,-76.5657,-5.3779,-2.8139,-1.3791,0.0,-4.1245,38.3653,0.04
p,Under20p,moreP,diff,over2p,2to9,LtoH,19561.0,8.9124,11.6752,0.0,3.9285,6.6389,10.6278,543.5644,15.7001,462.2329,0.067
p,Under20p,moreP,diff,over2p,2to9,OC/LH,19559.0,-7.3608,48.916,-99.3187,-46.681,-8.5947,28.6332,100.0,0.2373,-0.7404,0.7531
p,Under20p,moreP,same,under2p,2to9,OtoC,131328.0,-0.2701,4.4346,-64.0115,-2.2682,-0.6238,1.1371,324.5334,6.2433,269.7106,0.0341
p,Under20p,moreP,same,under2p,2to9,OtoH,131328.0,3.205,5.3415,0.0,0.6744,1.7872,3.8742,526.9252,16.1509,927.6153,0.032
p,Under20p,moreP,same,under2p,2to9,OtoL,131328.0,-2.7398,2.4782,-69.5005,-3.6675,-2.1598,-1.0958,0.0,-3.1804,30.8339,0.0257
p,Under20p,moreP,same,under2p,2to9,LtoH,131328.0,6.1729,6.0637,0.0,3.1757,4.778,7.3514,534.1642,14.3293,675.1031,0.0418
p,Under20p,moreP,same,under2p,2to9,OC/LH,131318.0,-11.7171,47.6933,-99.8668,-51.7774,-16.944,26.3154,100.0,0.2784,-0.9531,0.7809
p,Under20p,moreP,same,over2p,2to9,OtoC,33369.0,78.0528,14400.6768,-89.1697,-4.0533,-1.3116,1.626,2630596.9697,182.6718,33368.9831,0.0568
p,Under20p,moreP,same,over2p,2to9,OtoH,33369.0,232.3819,41471.3758,0.0,1.1044,2.8288,6.3446,7575657.5758,182.6718,33368.9969,0.0524
p,Under20p,moreP,same,over2p,2to9,OtoL,33369.0,-4.7083,4.3766,-89.8917,-6.2947,-3.6881,-1.9976,0.0,-3.3893,29.462,0.043
p,Under20p,moreP,same,over2p,2to9,LtoH,33369.0,1883.8405,342142.994,0.0,5.2916,8.2024,12.7715,62499900.0,182.6718,33368.9999,0.0748
p,Under20p,moreP,same,over2p,2to9,OC/LH,33368.0,-13.682,47.4606,-98.6101,-52.5572,-19.4569,21.2657,100.0,0.3907,-0.6955,0.7382
p,Over20p,moreN,diff,under2p,2to9,OtoC,138.0,2.0005,8.2519,-15.748,-2.2046,0.6956,5.4313,40.4622,1.7819,6.1033,0.0764
p,Over20p,moreN,diff,under2p,2to9,OtoH,138.0,7.1755,9.4092,0.0,1.4422,4.0954,9.592,60.5954,2.8223,9.8492,0.0815
p,Over20p,moreN,diff,under2p,2to9,OtoL,138.0,-4.3511,3.9526,-21.0359,-6.111,-3.695,-1.3031,0.0,-1.4998,2.682,0.0481
p,Over20p,moreN,diff,under2p,2to9,LtoH,138.0,12.2057,10.587,1.8411,6.107,8.9273,14.48,76.7622,2.8507,11.3667,0.0837
p,Over20p,moreN,diff,under2p,2to9,OC/LH,138.0,8.6763,48.2189,-93.7775,-31.4261,9.0344,47.6968,100.0,-0.0874,-1.0118,0.7912
p,Over20p,moreN,diff,over2p,2to9,OtoC,257.0,6.6052,9.5387,-30.4243,0.2747,4.5953,12.5402,52.4762,0.6483,2.2808,0.1227
p,Over20p,moreN,diff,over2p,2to9,OtoH,257.0,11.6927,10.416,0.0,3.7478,9.4276,15.3171,61.9416,1.5457,2.9309,0.1157
p,Over20p,moreN,diff,over2p,2to9,OtoL,257.0,-4.5687,5.1155,-35.9629,-6.3882,-3.0154,-1.0056,0.0,-2.423,8.811,0.0538
