signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over2p,target,position_type,metric,value
p,Under20p,moreN,same,under2p,2to9,양방향,횡보,13.7883
p,Under20p,moreN,same,under2p,2to9,양방향,한쪽 박살,36.9112
p,Under20p,moreN,same,under2p,2to9,롱,완전 익절,49.6234
p,Under20p,moreN,same,under2p,2to9,롱,부분 익절,5.6375
p,Under20p,moreN,same,under2p,2to9,롱,손실 전체,44.7391
p,Under20p,moreN,same,under2p,2to9,롱,익절선보다 큰 손실,24.3031
p,Under20p,moreN,same,under2p,2to9,롱,손실 평균,-2.8198
p,Under20p,moreN,same,under2p,2to9,롱,손실 중위값,-2.2139
p,Under20p,moreN,same,under2p,2to9,숏,완전 익절,61.1379
p,Under20p,moreN,same,under2p,2to9,숏,부분 익절,12.3928
p,Under20p,moreN,same,under2p,2to9,숏,손실 전체,26.4693
p,Under20p,moreN,same,under2p,2to9,숏,익절선보다 큰 손실,12.608
p,Under20p,moreN,same,under2p,2to9,숏,손실 평균,3.4806
p,Under20p,moreN,same,under2p,2to9,숏,손실 중위값,1.8381
p,Under20p,moreN,same,over2p,2to9,양방향,양쪽 다 털기,46.8037
p,Under20p,moreN,same,over2p,2to9,양방향,양쪽 부분 털기,2.8627
p,Under20p,moreN,same,over2p,2to9,양방향,횡보,2.1309
p,Under20p,moreN,same,over2p,2to9,양방향,한쪽 박살,37.4839
p,Under20p,moreN,same,over2p,2to9,롱,완전 익절,64.5071
p,Under20p,moreN,same,over2p,2to9,롱,부분 익절,1.6789
p,Under20p,moreN,same,over2p,2to9,롱,손실 전체,33.814
p,Under20p,moreN,same,over2p,2to9,롱,익절선보다 큰 손실,26.3991
p,Under20p,moreN,same,over2p,2to9,롱,손실 평균,-4.9177
p,Under20p,moreN,same,over2p,2to9,롱,손실 중위값,-3.9868
p,Under20p,moreN,same,over2p,2to9,숏,완전 익절,80.1657
p,Under20p,moreN,same,over2p,2to9,숏,부분 익절,3.1425
